Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
2588,581122/A,MUSHROOM HEAD SCREW M6X8X1,14.00,
2589,581123/A,FOOTREST ASSY COMPLETE LH,713.00,
2590,581152/A,FUEL HOSE ASSY,133.00,
2591,581156/A,REAR CHAIN,648.00,
2592,581158/A,"HEX SOCKET HEAD CAP SCREW M8 X 35 SS ,IS",17.00,
2593,581171/C,RELAY STARTER E5&G5,430.00,
2594,581177/A,"HARNESS , MAIN CABLE - EFI",6308.00,
2595,581188/A,WEAR INDICATOR PLATE,15.00,
2596,581189/A,WEAR INDICATOR,18.00,
2597,581222/A,COMMON KEY SET EFI,884.00,
2598,581223/A, FOOT REST ASSY LH,435.00,
2599,581224/A,FOOT REST ASSY RH,435.00,
2600,581234/A,RELAY MOUNTING RUBBER C5 & B5,31.00,
2601,581237/A,BRAKE ROD ASSY,162.00,
2602,581241/B,MAIN CABLE E5 & G5,7643.00,
2603,581243/A,RELAY STARTER E5&G5,580.00,
2604,581247/B,SILENCER GUARD ASSY- PLATED,1325.00,
2605,581263/B,BASE - REFLEX REFLECTOR,51.00,
2606,581272/A,STICKER - REFLEX REFLECTOR,99.00,
2607,581285/A,RIVET HEAT SHIELD,8.00,
2608,581316/B,VB 51- STEADY BRACKET,33.00,
2609,581318/B,VB 51- INTAKE ADOPTER LONG,27.00,
2610,581319/B,VB 51- INTAKE ADOPTER SHORT,25.00,
2611,581320/C,VB 51- TUBE AIR FILTER,2253.00,
2612,581506/A,REAR WHEEL(1.5THK) ASSY G5,22113.00,
2613,581507/E,FRONT WHEEL(1.5THK) ASSY G5,23200.00,
2614,581510/A,STICKER RH,30.00,Old BVI-Stock avl at warehouse
2615,581511/A,STICKER LH,30.00,Old BVI-Stock avl at warehouse
2616,581615/B,FUEL HOSE,309.00,
2617,581681/A,EMISSION LABEL,185.00,
2618,581690/A,SLEEVE -  TANK MTG REAR,19.00,
2619,581730/A,HEAT SHIELD - RIDER,150.00,
2620,581733/B,Combined Heat shield,1500.00,
2621,581738/A,SIDE STAND SWITCH - BULLET X,341.00,
2622,581739/A,FUSE STICKER,16.00,
2623,582003/A,WIRING HARNESS,621.00,
2624,582510/A,NEUTRAL CABLE,112.00,
2625,582511/A,BLACK CABLE STRAP,6.00,
2626,582512/A,BLADE FUSE -10AMPS RED COLOUR,10.00,
2627,582513/A,BLADE FUSES-15AMPS BLUE COLOUR,10.00,
2628,582515/B,HEAD LAMP ASSY - STD & ELECTRA,593.00,
2629,582516/A,ADD ON LEAD,58.00,
2630,582519/A,ADDON LEAD,34.00,
2631,582526/C,BRAIDED HOSE ASSY,590.00,
2632,582530/A,PAV MOUNTING BRACKET,73.00,
2633,582544/A,SIDE-STAND RELAY ADD-ON,110.00,
2634,582555/B,ADAPTOR CYLINDER HEAD,80.00,
2635,582563/A,SCREW - ELECTRA TAIL LAMP,3.00,
2636,582564/A,LENS-ELECTRA TAIL LAMP,140.00,
2637,582565/A,GASKET(RUBBER BEADING)-ELECTRA TAIL LAMP,16.00,
2638,582566/A,BASE ASSEMBLY -ELECTRA TAIL LAMP,160.00,
2639,582568/A,HEXAGONAL BOLT M5X10,26.00,
2640,582571/A,HEXAGONAL BOLT M6X1X,40.00,
2641,582591/A,FLANGE HEX BOLT M10X,22.00,
2642,582601/A,ADD ON LEAD TPS,520.00,
2643,582602/A,ARMATURE ASSY (V350CC),1197.00,
2644,582603/A,RR END COVER ASSY MOTOR-SILVER GREY-V,484.00,
2645,582604/A,BRUSH PLATE ASSY. MOTOR (V350),140.00,
2646,582605/A,?O? RING KIT STARTER MOTOR (V350),34.00,
2647,582606/A,BRUSH ASSY KIT (V350),705.00,
2648,582607/A,TIE BOLT STARTER MOTOR (V350),53.00,
2649,582613/A,Throttle cable assy,276.00,
2650,582616/A,RUBBER GASKET - FUEL TANK,151.00,
2651,582617/A,FUEL GUAGE FLANGE BRKT,43.00,
2652,582638/A,COPPER EXHAUST GASKET,30.00,
2653,582641/A,RIM HEADLAMP-TBTS,248.00,
2654,582642/A,PAN HD SCREW M5X15,6.00,
2655,582643/A,BUSH HEAD LAMP-TBTS,4.00,
2656,582646/A,NS-TRAFFICATOR CLEAR,43.00,
2657,582647/A,RUBBER STAY-TRAFFICATOR,62.00,
2658,582648/A,LENS-TRAFFICATOR AMBER,49.00,
2659,582650/A,HOUSING-TRAFFICATOR,202.00,
2660,582651/A,WIRING COMP-TAIL LAMP,97.00,
2661,582652/A,PH HEAD SCREW-TAIL,3.00,
2662,582653/A,WIRING COMP-TAIL LAMP,81.00,
2663,582654/A,PH. SCREW SMALL-T-LAMP ELECTRA,2.00,
2664,582656/A,LOCK SPRING- HALOGEN BULB,2.00,
2665,582657/A,HEADLIGHT PEAK,109.00,
2666,582659/A,LOCKING ANGLE-HEADLAMP,16.00,
2667,582661/D,EXHAUST PIPE ASSY - CLASSIC 350,4241.00,
2668,582662/D,EXHAUST PIPE ASSY - CLASSIC 500,7051.00,
2669,582663/A,PAV Mounting Assy,"1,250.00",
2670,582664/D,EX PIPE ASSY ( P/C ) ELECTRA,4106.00,
2671,582666/C,BRACKET THROTTLE SWITCH ASSY,45.00,
2672,582669/A,TANK STICKER LH(BLAC,270.00,Old BVI-Stock avl at warehouse
2673,582670/A,TANK STICKER RH (BLA,270.00,Old BVI-Stock avl at warehouse
2674,582673/A,STICKER-FRONT MUDGUARD(BLACK),452.00,Old BVI-Stock avl at warehouse
2675,582674/A,STICKER-REAR MUDGUARD(BLACK),452.00,Old BVI-Stock avl at warehouse
2676,582688/A,STICKER RH-AIR FILTER BOX(SANDAL),215.00,Old BVI-Stock avl at warehouse
2677,582692/A,TANK STICKER RH(SANDAL),270.00,Old BVI-Stock avl at warehouse
2678,582694/A,TANK STICKER LH(SANDAL),270.00,Old BVI-Stock avl at warehouse
2679,583851/C,SPEEDO METER MPH C5,1221.00,
2680,583881/A,FR. END COVER ASSY-BLACK F350,250.00,
2681,583882/A,YOKE ASSEMBLY - BLACK COLOUR,407.00,
2682,583883/A,RR END COVER ASSY-BLACK-F350,934.00,
2683,583884/A,PILOT LAMP RIM (S),63.00,
2684,583885/A,BULB-12V 2W (S-2209),21.00,
2685,583887/B,INNER RIM - HEAD LAMP,315.00,
2686,583890/A,GASKET-TAIL LAMP TBT,13.00,
2687,583891/A,BASE PLATE COMP-TAIL,119.00,
2688,583892/A,LENS COMP-TAIL LAMP-STD (M),89.00,
2689,583893/A,GASKET-TAIL LAMP STD (M),17.00,
2690,584004/A,THROTTLE COVER BRACKET,130.00,
2691,584005/A,STICKER THROTTLE COVER,149.00,Old BVI-Stock avl at warehouse
2692,584028/A, SILENCER BULLET EFI,35554.00,
2693,584035/A,NUMBER PLATE SUPPORT,318.00,
2694,584036/A,WARNING INDICATOR STD EFI,316.00,
2695,584040/B,FUEL TANK MOTIFF RH B5,1160.00,
2696,584041/B,FUEL TANK MOTIFF LH B5,1160.00,
2697,584043/A,STICKER,36.00,
2698,584057/A,SEAT SUB ASSY - BULLET,2611.00,
2699,584067/A,"SEAT ASSY - BULLET EFI ,ES & ELECTRA",2639.00,
2700,584068/A,SEAT ASSY - BULLET/ELECTRA 350,2329.00,
2701,584096/A,BODY COMP TOOL BOX ASSY,179.00,
2702,584115/A,BODY COMP TOOL BOX ASSY,207.00,
2703,584516/A,BACK REST ASSY,989.00,
2704,584552/A,AMMETER,207.00,
2705,584553/A,HEAD LAMP ASSY WITH BULB,798.00,
2706,584601,BELLOW -ECU COUPLER,15.00,
2707,584602,STRAP ECU BELLOW,4.00,
2708,584624/B,"Speedometer Dual KM/H, MPH",1575.00,
2709,584635/A,"MOTIFF,RH GOLD",1428.00,Old BVI-Stock avl at warehouse
2710,584636/A,"MOTIFF,LH GOLD",1428.00,Old BVI-Stock avl at warehouse
2711,584637/A,VB51 STICKER AIR FILTER BOX,112.00,Old BVI-Stock avl at warehouse
2712,584646/A,RUBBER BUSH - GUSSET LH FRAME,3.00,
2713,584651/B,VB 51- BRACKET ASSEMBLY COVER CARBURETTO,130.00,
2714,584666/A,VB 51-PAV HOSE - AIR FILTER,211.00,
2715,584667/A,VB 51-BREATHER PIPE,111.00,
2716,584668/A,VB51- FUEL TAP ASSY,319.00,
2717,584703/A,CAP TUBE BACK REST,29.00,
2718,584708/A,COVER CARBURETTOR WITH STICKER,1218.00,Old BVI-Stock avl at warehouse
2719,585003/B,NR61-BALL RACE BOTTOM  YOKE,191.00,
2720,585009/B,NR61 RIDER FOOTREST BRACKET - LH,209.00,
2721,585010/B,NR61 Foot rest LH,126.00,
2722,585012/B,NR61 RIDER FOOTREST,220.00,
2723,585013/B,NR61 Foot rest RH,128.00,
2724,585015/B,NR61 - REAR WHEEL ASSY,23750.00,
2725,585017/B,NR61 Centre Hub - Rear,1851.00,
2726,585022/A,NR61 - FRONT WHEEL ASSY,34800.00,
2727,585023/C,NR61 Hub front wheel,2326.00,
2728,585024/B,NR61 Front Disc,9099.00,
2729,585025/A,CALIPER ASSY DISC BRAKE FRONT,10250.00,
2730,585027/A,MASTER CYLINDER-FRONT,3025.00,
2731,585029/C,NR61 HANDLE BAR ASSEMBLY - LH,2877.00,
2732,585031/A,HANDLE BAR COMP - RH,1162.00,
2733,585039/A,NR61 Rear Disc Plate,1987.00,
2734,585040/A,NR61 REAR VIEW MIRROR - LH,231.00,
2735,585041/A,NR61 REAR VIEW MIRROR - RH,231.00,
2736,585042/C,NR61 TOP YOKE,2516.00,
2737,585044/B,NR61 STEERING STEM ASSEMBLY,1970.00,
2738,585047/C,NR61 SWING ARM  COMP.,2143.00,
2739,585058/A,NR61-BRACKET ASSY-NUMBER PLATE,53.00,
2740,585064/A,NR 61- HARNESS ? MAI,8820.00,
2741,585065/B,NR61 SINGLE SEAT ASSLY. WITH COWL (RED),2350.00,
2742,585066/B,RUBBER SUPPROT ? REAR,25.00,
2743,585067/B,RUBBER SUPPROT ? REAR,45.00,
2744,585068/B,RUBBER SUPPORT ? FRONT,28.00,
2745,585073/A,NR 61- TANK STICKER TOP,102.00,
2746,585074/C,NR61 EXHAUST PIPE ASSY (OE EXPORT),3258.00,
2747,585075/A,NR61 SILENCER ASSY-(,1990.00,
2748,585081/C,NR61 BRACKET SILENCE,551.00,
2749,585082/A,Swing Arm Complete Kit- Continental GT,3462.00,
2750,585083/A,NR61 Shock Absorber,5790.00,
2751,585084/B,NR 61- REAR MUDGUARD,1081.00,
2752,585085/A,OUTER TUBE - RH,3800.00,
2753,585086/A,NR61 Tail Lamp,566.00,
2754,585087/B,NR61 TAIL LAMP BRACKET,433.00,
2755,585088/A,OUTER TUBE - LH,3600.00,
2756,585089/A,INNER TUBE ASSY,3400.00,
2757,585150/B,NR61 BRAKE LIGHT MTG COMP,19.00,
2758,585159/B,NR61 TUBE - ENGINE FRONT MOUNTING,107.00,
2759,585175/A,SPRING-1,300.00,
2760,585176/A,SPACER,107.00,
2761,585179/A,NR61 Nipple 3.6 mm,21.00,
2762,585180/A,NR61 SIDE HANDLE ASSY LH,89.00,
2763,585182/A,SEAT PAN - SINGLE SEAT,747.00,
2764,585184/A,SEAT COVER (REXINE) - SINGLE SEAT,159.00,
2765,585203/B,RUBBER SUPPROT- DUAL SEAT,42.00,
2766,585209/B,NR61 REAR CHAIN-PAD,78.00,
2767,585226/A,Bolt Cap Fork-GIL,207.00,
2768,585230/B,NR 61-Bracket Engine Mtg Bottom_RH,64.00,
2769,585243/A,NR61 - REAR WHEEL ASSY (AL),31183.00,
2770,585244/A,NR61 - FRONT WHEEL ASSY (AL),34821.00,
2771,585248/C,LINK ROD ASSY,202.00,
2772,585249/E,TOE LEVER ASSY,566.00,
2773,585252/D,GEAR SHIFTER LEVER - SHORT,379.00,
2774,585271/B,NR61-Bracket-Engine,54.00,
2775,585272/B,NR61-Engine Mtg Bkt,95.00,
2776,585273/B,NR61-STEADY BRACKET,44.00,
2777,585276/B,NR61 HEX BOLT - M12*1.5*150,98.00,
2778,585282/A,PILLION FOOTREST SUB ASSY LH,219.00,
2779,585284/A,NR61 Heel guard LH,167.00,
2780,585288/C,NR61 Gear Shifter Assembly,874.00,
2781,585294/B,NR 61- PIECE MUDGUARD,251.00,
2782,585296/B,NR61 BATTERY CARRIER ASSY (BLK P/Coat),853.00,
2783,585300/A,"NR61  Rim Rear (Aluminium) - 3 X 18""",9613.00,
2784,585301/B,NR61  Spokes Inner - Rear,38.00,
2785,585302/B,NR61 - Spokes Outer Rear,38.00,
2786,585304/B,"NR61 Rear Tube - 130/80-18""",790.00,
2787,585305/B,NR61 REAR TYRE ( PIRELLI) - 13,12893.00,
2788,585309/B,NR61 CUSHION RUBBER,174.00,
2789,585310/A,NR61 Adaptor -RD Sprocket,570.00,
2790,585311/B,NR61 Rear Wheel Sprocket,916.00,
2791,585312/A,NR61-SPACER DISC SIDE,104.00,
2792,585313/A,NR61-SPACER SPROCKET SIDE,90.00,
2793,585315/B,NR61 SPINDLE SHORT,368.00,
2794,585316/B,NR61 SPINDLE -LONG,422.00,
2795,585325/C,NR61 WHEEL RIM FRONT ( STEEL) - 2.15 X 1,1933.00,
2796,585326/B,NR61 Spokes Front,35.00,
2797,585328/A,RIM TAPE,48.00,
2798,585329/B,"NR61 FRONT TYRE (PIRELLI) - 100/90-18""",11465.00,
2799,585330/B,"NR61 Front Tube - 100/90 -18""",743.00,
2800,585334/A,NR61-SPINDLE FRONT WHEEL,369.00,
2801,585353/B,NR61-BALL RACE TOP YOKE,218.00,
2802,585355/C,NR61-BALL RACE FRAME HEAD TUBE,341.00,
2803,585356/A,NR 61- DUST CAP TOP YOKE,12.00,
2804,585357/A,NR 61- DUST CAP BOTTOM YOKE,12.00,
2805,585359/B,NR61 FRONT FORK ASSEMBLY LH,5721.00,
2806,585360/B,NR61 FRONT FORK ASSEMBLY RH,5721.00,
2807,585362/B,NR 61-  FRONT MUDGUARD,822.00,
2808,585363/B,NR61 FORK BRACE,249.00,
2809,585369/A,NR 61-NYLON BUSH SWING ARM,14.00,
2810,585373/A,PISTON,295.00,
2811,585374/B,NR 61- Tail lamp Mounting  pad,65.00,
2812,585381/B,SUPPORT BUSH ? DUAL SEAT,11.00,
2813,585403/B,NR61 HEAD LAMP HOLDER LH,340.00,
2814,585404/B,NR61 HEAD LAMP HOLDER RH,350.00,
2815,585413/A,RUBBER SLEEVE HANDLEBAR,23.00,
2816,585423/A,MIRROR DUMMY RING,13.00,
2817,585428/A,NR61 - SPRING RIDER FOOT REST,10.00,
2818,585429/A,NR 61 FLANGED HEX BOLT - M10 X220*1.5,110.00,
2819,585459/A,NR61-ADD ON LEAD CLUTCH SWITCH,64.00,
2820,585460/A,NR61-ADD ON LEAD BRAKE SWITCH,46.00,
2821,585461/A,NR61 Head Lamp Assembly With Bulb,1502.00,
2822,585462/A,Ignition switch assy,1075.00,
2823,585464/A,.R61-TAIL LAMP HARNESS,154.00,
2824,585465/C,FUEL GAUGE ASSY,513.00,
2825,585466/A,NR61 IGNITION COIL,534.00,
2826,585467/A,NR61 FRONT TRAFFICAT,482.00,
2827,585468/A,NR61 FRONT TRAFFICATOR ASSE WITH BULB-LH,482.00,
2828,585469/A,NR61 REAR BREAK SWITCH,84.00,
2829,585471/D, NSTRUMENT CLUSTER - NR61,6090.00,New BVI
2830,585474/B,NR61 QUCK FIX ADAPTOR,195.00,
2831,585476/A,HANDLE BAR COMP - LH,1162.00,
2832,585478/A,"NR61 Rim Front (Aluminium) -2.5 X 18""",9077.00,
2833,585480/A,NR61 FLANGED HEX. BOLT M10 x 1,29.00,
2834,585482/A,NR61 HEX.SOCKET BUTT,7.00,
2835,585488/C,NR61 HANDLE BAR ASSEMBLY - RH,1875.00,
2836,585501/B,NR61 NUM PLATE BKT-REAR (BLK P/Coat),87.00,
2837,585506/A,NR61 RIDER FOOTREST BRACKET,315.00,
2838,585509/B,NR61-PIN FOOTREST,49.00,
2839,585511/B,NR61 BRAKE PEDAL ASSY SILVER POW COAT,290.00,
2840,585512/C,NR61 LOCK PIN-FOOTREST,32.00,
2841,585514/A,NR 61- FRONT HUB BEARING SPACER ASSEMBLY,82.00,
2842,585530/A,REAR CALIPER ASSEMBLY,3546.00,
2843,585538/C,NR61 CLAMP ? SILENCE,551.00,
2844,585545/A,NR61 Disc Brake Syst,7391.00,
2845,585547/D,SEAT PAN ? DUAL SEAT,850.00,
2846,585549/A,REXIN-DUAL SEAT,250.00,
2847,585550/D,COWL ? DUAL SEAT,2423.00,
2848,585554/B,BACKREST ASSY ? DUAL SEAT,170.00,
2849,585555/C,NR61 DUAL SEAT ASSLY.WITH BACKREST & COW,4150.00,
2850,585556/C,COWL- SINGLE SEAT,1395.00,
2851,585557/B,NR 61- REAR MUDFLAP,93.00,
2852,585561/A,NR 61- DUST SEAL BOTTOM YOKE,23.00,
2853,585570/A,NR61-CROSS RECESS PAN HEAD SCREW M6(SS),26.00,
2854,585573/A,NR61 EXHAUST PIPE ASSY (AM EXPORT),2750.00,
2855,585580/A,RIDER FOOT REST KIT COMP RH,1750.00,
2856,585581/A,RIDER FOOT REST KIT COMP LH,1600.00,
2857,585582/A,NR61- SPRING PEDAL RETURN,14.00,
2858,585600/B,NR 61-  FRONT MUDFLAP,91.00,
2859,585601/A,NR61 Dic Brake Syste,15934.00,
2860,585606/A,NR61 -SEAT LOCK WITH LATCH,169.00,
2861,585612/D,Rider Footrest Bracket Comp. -,250.00,
2862,585613/A,Rear Sprocket - Adap,1767.00,
2863,585614/A,NR 61 ALLEN HEAD HEX BOLT - M10X25*1.5,20.00,
2864,585620/A,NR61 THROTTLE CABLE ASSEMBLY -TWIN CABLE,450.00,
2865,585632/A,NR61 - RR UNIT 3 PHA,1363.00,
2866,585638/B,Key Set (white brass,242.00,New BVI
2867,585639/A,Common Key Set Domestic,1485.00,New BVI
2868,585640/B,NR61 INNER SPACER -SWING ARM,152.00,
2869,585641/A,1R61-FLANGE.HEX BOLT,441.00,
2870,585643/A,NEEDLE ROLLER BEARIN,1802.00,
2871,585644/A,INNER RACE NEEDLE BEARING(IR20*25*26.5),1984.00,
2872,585645/B,NR 61- END CUP -SWING ARM,58.00,
2873,585647/A,NR61 REAR NO PLATE EXP-GROMMET,139.00,
2874,585655/A,NR61-SPACER STEADY BRACKET,22.00,
2875,585656/A,PILLION FOOTREST SUB ASSY RH,219.00,
2876,585657/B,NR61 BKT COMP PILLION FOOTREST,60.00,
2877,585659/A,NR61-BUSH FUEL TANK,30.00,
2878,585661/A,NR 61- DRAIN HOSE,36.00,
2879,585662/A,NR 61-UTILITY BOX,50.00,
2880,585666/A,NR61 - HEX.SOCKET BUTTON HEAD SCRERW M6X,12.00,
2881,585670/A,PILLION HOLDER - SEAT,69.00,
2882,585674/A,"NR61 TRAFFICATOR ASSY FLH,RRH",521.00,
2883,585675/A,"NR61 TRAFFICATOR ASSY FRH,RLH",521.00,
2884,585677/A,NR 61- CHAIN GUARD,100.00,
2885,585678/A,NR61 BRKT-PLASTIC CHAIN GUARD,53.00,
2886,585681/A,NR61 RELAY( MICRO-5 PIN),146.00,
2887,585683/A,NR61-SPACER SWING ARM,71.00,
2888,585695/A,NR61 SILENCER GUARD,117.00,
2889,585700/A,NR61 REAR TRAFFICATOR ASSE WITH BULB-LH,482.00,
2890,585701/A,NR61 REAR TRAFFICATOR ASSE WITH BULB-RH,482.00,
2891,585702/A,NR61 MTG BRKT(EXPORT) NUM PLATE(R),161.00,
2892,585709/A,NR61 RUBBER PAD PIECE MUDGUARD,25.00,
2893,585736/A,NR 61 PAV MOUNTING BRACKET,80.00,
2894,585751/A,NR61- DUST SEAL SWINGARM,24.00,
2895,585753/A,NR61 SPACER DUST SEAL SWING ARM,22.00,
2896,585757/A,NR61 WIRING HARNESS,6439.00,
2897,585766/A,NR61 SIDE STAND BKT ASSY,309.00,
2898,585767/A,NR61 SIDE STAND  ASSLY.,248.00,
2899,585771/B,NR61 GRAB RAIL ASSY,270.00,
2900,585774/A,LENS AND REFLECTOR ASSY,950.00,
2901,585775/A,RIM ASSY HEAD LAMP,147.00,
2902,585776/A,HOUSING ASSY,245.00,
2903,585778/A,BULB HOLDING SPRING,11.00,
2904,585779/A,BULB 12V(T4W),49.00,
2905,585780/A,PARKING BUSH,13.00,
2906,585781/A,PARKING BULB HOLDER,11.00,
2907,585782/A,HOUSING LOCATIN BRACKET,9.00,
2908,585783/A,PAN HEAD SCREW,5.00,
2909,585784/A,CLIP,10.00,
2910,585785/A,LENS AND REFLECTOR ASSY,115.00,
2911,585787/A,HOUSING &STAY ASSY FLH,318.00,
2912,585788/A,LENS COMPLETE - TAIL LAMP,159.00,
2913,585789/A,HOUSING ASSY -TAIL LAMP,159.00,
2914,585791/A,RUBBER PACKING -TAIL LAMP,24.00,
2915,585792/A,PAN HEAD TAPPING SCREW -TAIL LAMP,5.00,
2916,585793/A,TAPPING SREW -TAIL LAMP,5.00,
2917,585794/A,WIRE ASSY COMPLETE TAIL LAMP,55.00,
2918,585795/A,INSTRUMENT CLUSTER WITHOUT BRACKET,"6,746.00",
2919,585796/A,BRACKET ASSY- INSTRUMENT CLUSTER,454.00,
2920,585797/A,"BULB, NEUTRAL INDICATOR",159.00,
2921,585807/A,NR61 ADD ON LEAD - GROUND,51.00,
2922,585808/A,NR61 DUST CAP-FRAME,16.00,
2923,585809/A,NR61 CAP-FRAME,14.00,
2924,585811/A,NR61 REAR NO PLATE E,140.00,
2925,585812/A,NR61 GROMMET-CLIP ON,8.00,
2926,585818/A,SPRING - SHOCK ABSORBER,610.00,
2927,585829/A,"NR61 DOMED BOLT ? 3/8""X40",106.00,
2928,585832/A,NR61 HEAD LAMP HOUSI,490.00,
2929,585912/A,NR61 LABEL- NOISE & BRAKE JAPAN,42.00,
2930,585914/B,FUEL HOSE 210 MM,675.00,
2931,585925/A,DISC PAD KIT - FRONT CALIPER,2100.00,
2932,585926/A,FRONT BRAKE HOSE ASS,1875.00,
2933,585960/A,REAR BRAKE HOSE ASSEMBLY KIT,2100.00,
2934,585965/A,INSTRUMENT CLUSTER,"6,300.00",
2935,585967/A,OIL WINDOW ASSEMBLY,29.00,
2936,585968/A,CLAMP KIT FRONT M/C,111.00,
2937,585969/A,DIAPHRAGM KIT FRONT,27.00,
2938,585970/A,SWITCH REPAIR KIT FRONT BRAKE - (BBI),133.00,
2939,585971/A,RESERVOIR COVER KIT FRONT M/C,38.00,
2940,585975/A,NR61SINGLE SEAT ASSY (YELLOW),2750.00,
2941,585976/A,HOUSING & STAY ASSY RRH,318.00,
2942,585978/A,HOUSING & STAY ASSY RLH,318.00,
2943,585979/A,HOUSING &STAY ASSY FRH,318.00,
2944,585980/A,RUBBER GROMMET,6.00,
2945,585981/A,DOMED NUT M6,21.00,
2946,585982/A,RUBBER CAP (NEUTRAL BULB),7.00,
2947,585983/A,PLAIN WASHER M6,2.00,
2948,585984/A,NR61 DUAL SEAT ASSY (YELLOW),4150.00,
2949,585985/A,HEX NUT M12X1.75,13.00,
2950,585998/A,NR61 COWL-SINGLE SEAT (YELLOW),1175.00,
2951,585999/A,NR61 COWL-DUAL SEAT (YELLOW),"1,850.00",
2952,586001/A, LANGED HEX BOLT M8X1.25X112,44.00,
2953,586002/A,FLANGED HEX BOLT M8*20,11.00,
2954,586003/A,FLANGED HEX BOLT M8*30,11.00,
2955,586004/A,HEXOGNAL NYLOCK NUTM8X9.5,6.00,
2956,586005/A,FLANGED HEX NUT M8X7.7X8,6.00,
2957,586008/A,PLAIN WASHER  M12,4.00,
2958,586009/A,HEX LOCK NUT M22*1.5,36.00,
2959,586010/A,HEXOGNAL CASTLE NUT M16X1.5,26.00,
2960,586011/A,QD SPINDLE,194.00,
2961,586012/A,SPLIT PIN,3.00,
2962,586014/A,FLANGE HEX BOLT M8*10,6.00,
2963,586015/A,SPINDLE-CENTRE STAND,81.00,
2964,586016/A,PLAIN WASHER-CENTER STAND,4.00,
2965,586017/A,SPLIT PIN-CENTRE STAND,3.00,
2966,586018/A,LAIN WASHER-REAR SUSPENSION,3.00,
2967,586019/A,SINGLE COIL SPRING LOCK WASHER,2.00,
2968,586021/A,HEXAGONAL NUT M6X1X7,4.00,
2969,586022/A,FLANGED HEX BOLT M8X1.25X45,15.00,
2970,586023/A,HEX SOCKET HEAD SCREW M8 X 40,18.00,
2971,586024/A,"FLANGED HEX BOLT , M8*60",23.00,
2972,586025/A,FLANGED HEX BOLT -M8 X 16,8.00,
2973,586027/A,HEXGONAL NUT M12 X 1.5 X 10,14.00,
2974,586028/A,HEX NUT M12 X 1.25,16.00,
2975,586029/A,HEXAGONAL NUT M6X1,2.00,
2976,586032/A,PLAIN WASHER,3.00,
2977,586033/A,"PLAIN WASHER,M10",3.00,
2978,586035/A,"PLAIN WASHER,M6",3.00,
2979,586036/A,Plain washer,3.00,
2980,586037/A,"PLAIN WASHER,M10",7.00,
2981,586038/A,SPRING WASHER,3.00,
2982,586040/A,"PLAIN WASHER,M12",8.00,
2983,586041/A,WASHER,23.00,
2984,586042/A,FLANGED HEX BOLT M6X1X20,6.00,
2985,586045/A,SPLIT PIN - GEAR SHIFTER,3.00,
2986,586046/A,"WASHER FACED HEX.NUT,   3/8""C",18.00,
2987,586047/A,STUD,30.00,
2988,586049/A,HEX SCREW M6*35,6.00,
2989,586053/A,HEX SCREW M6*25,6.00,
2990,586054/A,REAR MUD. CARRIER STUD TOP,23.00,
2991,586055/A,STUD M8,10.00,
2992,586056/A,SPACER STEADY BRACKET,7.00,
2993,586061/A,FRONT HUB SPINDLE,247.00,
2994,586068/A,SLOTTED SCREW,3.00,
2995,586070/A,"PLAIN WASHER,M16",10.00,
2996,586071/A,PLAIN WASHER,3.00,
2997,586076/A,PIN-BRAKE ROD,22.00,
2998,586077/A,BRAKE ROD NUT,19.00,
2999,586082/A,FLANGED HEX. NUT M10X1.25,20.00,
3000,586084/A,NUT,14.00,
3001,586085/A,HEX U NUT M16X1.5,46.00,
3002,586092/A,REAR MUD. CARRIER STUD TOP,28.00,
3003,586093/A,HEX NUT,26.00,
3004,590006/A,110/80 - 18 58 V REAR TYRE IMPORT,9453.00,
3005,590271/A,REAR VIEW MIRROR LH,419.00,
3006,590272/A,REAR VIEW MIRROR RH,434.00,
3007,590273/A,SPEEDOCABLE COMPLETE,126.00,
3008,590280/A,CHROME TANK STICKER,47.00,New BVI
3009,590284/A,TANK STICKER RH(SANDAL)CL500,221.00,New BVI
3010,590285/A,TANK STICKER RH & CL 500 (BLAC,221.00,New BVI
3011,590288/A,STICKER CLASSIC ARMY TANK & NR,103.00,New BVI
3012,590289/A,TANK STICKER LH(SANDAL)CL500,221.00,New BVI
3013,590290/A,TANK STICKER LH & CL 500 (BLAC,221.00,New BVI
3014,590293/A,RMG STICKER CLASSIC,22.00,New BVI
3015,590294/A,STICKER RH-AIR FILTE,171.00,New BVI
3016,590295/A,STICKER LH-TOOL BOX(,171.00,New BVI
3017,590296/A,STICKER LH-TOOL BOX(SANDAL),171.00,New BVI
3018,590297/A,STICKER RH-AIR FILTER BOX(SANDAL) CL500,171.00,New BVI
3019,590298/A,TOOL BOX CLA350 LH,48.00,New BVI
3020,590299/A,TOOL BOX CLA350 RH JAPAN,47.00,New BVI
3021,590306/A,TOOL BOX CHROME LH,48.00,New BVI
3022,590307/A,FILTER BOX CHROME RH,47.00,New BVI
3023,590308/A,STICKER CLASSIC ARMY T/BOX LH,52.00,New BVI
3024,590309/A,STICKER CLASSIC ARMY T/BOX RH,52.00,New BVI
3025,590316/A,STICKER FUEL TANK LH BULLET (GOLD),1340.00,New BVI
3026,590317/A,STICKER FUEL TANK RH BULLET (GOLD),1340.00,New BVI
3027,590318/A,STICKER FUEL TANK LH BULLET (CHROME),1340.00,New BVI
3028,590319/A,STICKER FUEL TANK RH BULLET (CHROME),1340.00,New BVI
