Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
355,140569/C,NUT,14.00,
356,140573/B,CLIP,4.00,
357,140587,SEAT CUSHION,502.00,
358,140599/B,BUSH,16.00,
359,140606,BUSH,6.00,
360,140613,BIG END BUSH,178.00,
361,140626,CONNECTING ROD BIG END ASSEMBL,2702.00,
362,140652,FT.FORK OIL SEAL,23.00,
363,140714,AP ON CONNECTOR,8.00,
364,140752/B,RIVET,4.00,
365,140753,"BALL BEARING,    6206",263.00,
366,140755/6,SPRING,14.00,
367,140762,"FRAME STUD  1/2"" BSF X 10-7/16""",109.00,
368,140769,HEX. NUT WITH NYLON INSERT,33.00,
369,140771,FIBRE WASHER,3.00,
370,140776/C,OIL FILLER COLLAR M/C,44.00,
371,140778,CYLINDER HEAD ASSY,8990.00,
372,140790,DECOMPRESSOR ASSY.W/O CABLE,275.00,
373,140791,CRANK PIN WITH GRUB SCREW,235.00,
374,140798,TIMING SHAFT,385.00,
375,140799/C,THRUST WASHER,15.00,
376,140867/8, DECOMPRESSOR BODY,81.00,
377,140872/B,GROMMET,7.00,
378,140895,FR.FORK OIL SEAL TUBE,8.00,
379,140905,BUSH,10.00,
380,140921,CRANK PIN O/S,490.00,
381,140924,TAPPET GUIDE O/S,69.00,
382,140925,VALVE GUIDE O/S,54.00,
383,140936/1,PLAIN WASHER,3.00,
384,140938/3,TENSIONER PAD,78.00,
385,140949,CAM SPINDLE O/S 2,118.00,
386,140954,CONTACT SET,357.00,
387,140986,SECURING SCREW,3.00,
388,140987,TAIL LAMP LENSE,37.00,
389,140997,7/16W * 1/2 W D.E SPANNER,290.00,
390,141044,"HEX BOLT,    M6X35",6.00,
391,141051,M8 NUT,4.00,
392,141054, STUD,31.00,
393,141055,"STUD,    M8 X 114",31.00,
394,141056,STUD,34.00,
395,141057,GEAR BOX PLATE STUD(TOP),16.00,
396,141058,"STUD,    M8 X 65",14.00,
397,141093,HEX.SCREW M6X10,3.00,
398,141101E,RR.WHEEL ASSY EXPORT,4626.00,
399,141105/C,RR HUB SPACER ASSY,89.00,
400,141108/A,"RR HUB SPINDLE, LONG",237.00,
401,141109/1,"GREASE SEAL,   25X40X7",24.00,
402,141110,O-RING,4.00,
403,141113/1,CHANGED AS PER DRG SPEC-251201-GSV/EGO,32.00,
404,141115/C,DISTANCE PIECE,34.00,
405,141119/C,DISTANCE COLLAR STEPPED,28.00,
406,141121/B,DISTANCE TUBE,77.00,
407,141130/B,DISTANCE COLLAR,46.00,
408,141135,SPOKES INNER REAR,7.00,
409,141136,SPOKES OUTER REAR,7.00,
410,141148,SPARK PLUG,79.00,
411,141161/C,"CABLE STRAP 6""",4.00,
412,141162/C,CABLE STRAP 8 INCH,4.00,
413,141192,CABLE ADJUSTER CARRIER,51.00,
414,141207,DECOMPRESSOR ASSY,312.00,
415,141209,FUEL TAP UK,3335.00,
416,141233/B,CENTER STAND SPINDLE,63.00,
417,141246/C,BUSH,9.00,
418,141414,NUT,17.00,
419,141417/A,CIRCLIP,3.00,
420,141421,OIL CONTROL COLLAR,36.00,
